BugId,Total,jaccard,Exam Score,FLASH_FL,Exam Score,Diff,Exam Score Diff,Total,tarantula,Exam Score,FLASH_FL,Exam Score,Diff,Exam Score Diff,Total,ochiai,Exam Score,FLASH_FL,Exam Score,Diff,Exam Score Diff,Total,dstar,Exam Score,FLASH_FL,Exam Score,Diff,Exam Score Diff
closure81,951,17,0.0179,20,0.0210,3,0.0032,951,17,0.0179,20,0.0210,3,0.0032,951,17,0.0179,20,0.0210,3,0.0032,951,17,0.0179,20,0.0210,3,0.0032
closure82,4366,2354,0.5392,1835,0.4203,-519,-0.1189,4366,2354,0.5392,1835,0.4203,-519,-0.1189,4366,538,0.1232,372,0.0852,-166,-0.0380,4366,538,0.1232,372,0.0852,-166,-0.0380
closure83,175,10,0.0571,6,0.0343,-4,-0.0229,175,10,0.0571,6,0.0343,-4,-0.0229,175,10,0.0571,6,0.0343,-4,-0.0229,175,10,0.0571,6,0.0343,-4,-0.0229
closure84,962,962,1.0000,962,1.0000,0,0.0000,962,962,1.0000,962,1.0000,0,0.0000,962,962,1.0000,962,1.0000,0,0.0000,962,962,1.0000,962,1.0000,0,0.0000
closure85,2866,2866,1.0000,2866,1.0000,0,0.0000,2866,2866,1.0000,2866,1.0000,0,0.0000,2866,2866,1.0000,2866,1.0000,0,0.0000,2866,2866,1.0000,2866,1.0000,0,0.0000
closure86,5807,2,0.0003,4341,0.7475,4339,0.7472,5807,14,0.0024,4343,0.7479,4329,0.7455,5807,2,0.0003,4341,0.7475,4339,0.7472,5807,2,0.0003,4341,0.7475,4339,0.7472
closure87,2464,2464,1.0000,2464,1.0000,0,0.0000,2464,2464,1.0000,2464,1.0000,0,0.0000,2464,2464,1.0000,2464,1.0000,0,0.0000,2464,2464,1.0000,2464,1.0000,0,0.0000
closure88,6988,6988,1.0000,6988,1.0000,0,0.0000,6988,6988,1.0000,6988,1.0000,0,0.0000,6988,6988,1.0000,6988,1.0000,0,0.0000,6988,6988,1.0000,6988,1.0000,0,0.0000
closure89,3608,3608,1.0000,3608,1.0000,0,0.0000,3608,3608,1.0000,3608,1.0000,0,0.0000,3608,3608,1.0000,3608,1.0000,0,0.0000,3608,3608,1.0000,3608,1.0000,0,0.0000
closure90,4434,2047,0.4617,1667,0.3760,-380,-0.0857,4434,2047,0.4617,1667,0.3760,-380,-0.0857,4434,2049,0.4621,1668,0.3762,-381,-0.0859,4434,2049,0.4621,1668,0.3762,-381,-0.0859
