BugId,Total,jaccard,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,tarantula,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,ochiai,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,dstar,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff
closure50,2789,2789,1.0000,2789,1.0000,0,0.0000,2789,2789,1.0000,2789,1.0000,0,0.0000,2789,2789,1.0000,2789,1.0000,0,0.0000,2789,2789,1.0000,2789,1.0000,0,0.0000
closure51,1369,54,0.0394,52,0.0380,-2,-0.0015,1369,54,0.0394,52,0.0380,-2,-0.0015,1369,54,0.0394,52,0.0380,-2,-0.0015,1369,54,0.0394,52,0.0380,-2,-0.0015
closure52,1443,15,0.0104,15,0.0104,0,0.0000,1443,15,0.0104,15,0.0104,0,0.0000,1443,15,0.0104,15,0.0104,0,0.0000,1443,15,0.0104,15,0.0104,0,0.0000
closure53,3179,3179,1.0000,3179,1.0000,0,0.0000,3179,3179,1.0000,3179,1.0000,0,0.0000,3179,3179,1.0000,3179,1.0000,0,0.0000,3179,3179,1.0000,3179,1.0000,0,0.0000
closure54,5964,5964,1.0000,5964,1.0000,0,0.0000,5964,5964,1.0000,5964,1.0000,0,0.0000,5964,5964,1.0000,5964,1.0000,0,0.0000,5964,5964,1.0000,5964,1.0000,0,0.0000
closure55,2999,329,0.1097,319,0.1064,-10,-0.0033,2999,329,0.1097,319,0.1064,-10,-0.0033,2999,329,0.1097,319,0.1064,-10,-0.0033,2999,329,0.1097,319,0.1064,-10,-0.0033
closure56,1189,1189,1.0000,1189,1.0000,0,0.0000,1189,1189,1.0000,1189,1.0000,0,0.0000,1189,1189,1.0000,1189,1.0000,0,0.0000,1189,1189,1.0000,1189,1.0000,0,0.0000
closure57,1258,7,0.0056,5,0.0040,-2,-0.0016,1258,7,0.0056,5,0.0040,-2,-0.0016,1258,7,0.0056,5,0.0040,-2,-0.0016,1258,7,0.0056,5,0.0040,-2,-0.0016
closure58,2469,2469,1.0000,2469,1.0000,0,0.0000,2469,2469,1.0000,2469,1.0000,0,0.0000,2469,2469,1.0000,2469,1.0000,0,0.0000,2469,2469,1.0000,2469,1.0000,0,0.0000
closure59,8676,8126,0.9366,8272,0.9534,146,0.0168,8676,8120,0.9359,8266,0.9527,146,0.0168,8676,8134,0.9375,8280,0.9544,146,0.0168,8676,8134,0.9375,8280,0.9544,146,0.0168
closure60,7784,7784,1.0000,7784,1.0000,0,0.0000,7784,7784,1.0000,7784,1.0000,0,0.0000,7784,7784,1.0000,7784,1.0000,0,0.0000,7784,7784,1.0000,7784,1.0000,0,0.0000
closure61,2541,2541,1.0000,2541,1.0000,0,0.0000,2541,2541,1.0000,2541,1.0000,0,0.0000,2541,2541,1.0000,2541,1.0000,0,0.0000,2541,2541,1.0000,2541,1.0000,0,0.0000
closure62,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000
closure63,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000
closure64,6036,6036,1.0000,6036,1.0000,0,0.0000,6036,6036,1.0000,6036,1.0000,0,0.0000,6036,6036,1.0000,6036,1.0000,0,0.0000,6036,6036,1.0000,6036,1.0000,0,0.0000
closure65,1342,1,0.0007,1,0.0007,0,0.0000,1342,1,0.0007,1,0.0007,0,0.0000,1342,1,0.0007,1,0.0007,0,0.0000,1342,1,0.0007,1,0.0007,0,0.0000
closure66,3396,3396,1.0000,3396,1.0000,0,0.0000,3396,3396,1.0000,3396,1.0000,0,0.0000,3396,3396,1.0000,3396,1.0000,0,0.0000,3396,3396,1.0000,3396,1.0000,0,0.0000
closure67,3065,3065,1.0000,3065,1.0000,0,0.0000,3065,3065,1.0000,3065,1.0000,0,0.0000,3065,3065,1.0000,3065,1.0000,0,0.0000,3065,3065,1.0000,3065,1.0000,0,0.0000
closure68,1076,1076,1.0000,1076,1.0000,0,0.0000,1076,1076,1.0000,1076,1.0000,0,0.0000,1076,1076,1.0000,1076,1.0000,0,0.0000,1076,1076,1.0000,1076,1.0000,0,0.0000
