Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.apache.commons.lang3.time.FormatCache#199,99,100,102,0.0114,0.3965,0.0758,0.0115
org.apache.commons.lang3.time.FormatCache#200,129,8849,8851,0.0114,0.3965,0.0758,0.0115
org.apache.commons.lang3.time.FormatCache#201,8851,8850,1568,0.0114,0.3965,0.0758,0.0115
org.apache.commons.lang3.time.FormatCache#202,135,134,136,0.0114,0.3965,0.0758,0.0115
org.apache.commons.lang3.time.FormatCache#203,115,116,117,0.0114,0.3965,0.0758,0.0115
org.apache.commons.lang3.time.FormatCache#206,1568,1567,1569,0.0114,0.3965,0.0758,0.0115
org.apache.commons.lang3.time.FormatCache#208,102,101,103,0.0114,0.3965,0.0758,0.0115
org.apache.commons.lang3.time.FormatCache#35,-1,-1,-1,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FormatCache#41,-1,-1,-1,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FormatCache#44,-1,-1,-1,0.0114,0.3965,0.0758,0.0115
org.apache.commons.lang3.time.FormatCache#70,76,596,598,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FormatCache#73,598,621,604,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FormatCache#76,604,622,283,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FormatCache#79,283,623,422,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FormatCache#80,422,409,423,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FormatCache#81,423,406,114,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FormatCache#82,528,527,529,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FormatCache#83,529,647,649,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FormatCache#84,649,648,204,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FormatCache#90,114,113,103,0.0115,0.3993,0.0762,0.0116
