Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.mockito.internal.creation.cglib.CGLIBHacker#23,1125,7681,2210,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.cglib.CGLIBHacker#24,2210,6694,3579,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.cglib.CGLIBHacker#25,3579,3578,420,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.cglib.CGLIBHacker#26,128,120,122,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.cglib.CGLIBHacker#31,-1,-1,-1,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.cglib.CGLIBHacker#32,-1,-1,-1,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.cglib.CGLIBHacker#37,2398,9849,9850,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.cglib.CGLIBHacker#41,9850,9831,60,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.cglib.CGLIBHacker#44,60,59,61,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.cglib.MockitoNamingPolicy#11,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.cglib.MockitoNamingPolicy#15,15,14,16,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.cglib.MockitoNamingPolicy#9,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#101,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#103,547,546,548,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#104,548,542,550,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#105,550,3022,3024,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#106,3024,4038,4040,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#110,208,207,209,0.0035,0.7891,0.0589,0.0035
org.mockito.internal.creation.jmock.ClassImposterizer#111,209,206,95,0.0035,0.7891,0.0589,0.0035
org.mockito.internal.creation.jmock.ClassImposterizer#113,4040,5666,2125,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#114,2125,3990,3024,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#115,3024,3036,3038,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#118,128,120,122,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#121,3038,3037,3040,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#124,15,14,16,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#142,90,353,354,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#143,354,352,186,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#144,186,185,88,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#148,357,3561,3565,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#149,3565,5998,790,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#150,790,789,792,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#151,792,791,88,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#29,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#31,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#36,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#38,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#45,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#47,15,14,16,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#52,15,14,16,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#56,55,4130,4132,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#57,4132,4211,3582,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#59,211,394,396,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#60,396,12999,6253,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#61,6253,6252,513,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#62,513,512,514,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#73,128,120,122,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#86,198,199,200,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#87,128,120,122,0.0035,0.7891,0.0589,0.0035
org.mockito.internal.creation.jmock.ClassImposterizer#89,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#92,41,161,162,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.ClassImposterizer#96,162,2208,547,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SearchingClassLoader#24,15,14,16,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SearchingClassLoader#28,90,364,365,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SearchingClassLoader#30,365,9790,907,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SearchingClassLoader#31,907,9791,9416,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SearchingClassLoader#32,128,120,122,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SearchingClassLoader#40,9416,12775,10445,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SearchingClassLoader#44,10445,10444,351,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SearchingClassLoader#49,351,350,88,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SearchingClassLoader#53,216,214,218,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SearchingClassLoader#55,218,217,220,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SearchingClassLoader#59,220,219,221,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SearchingClassLoader#63,135,134,136,0.0010,0.5124,0.0313,0.0010
